Time,Load,Solar,Battery,Grid,SOC
9.279,5500,1938.77777044428,1500,2061.22222955572,0.475145682535218
9.28,5500,1938.89738456283,1500,2061.10261543717,0.47514290475744
9.281,5500,1939.01685068006,1500,2060.98314931994,0.475140126979662
9.282,5500,1939.13616879308,1500,2060.86383120692,0.475137349201884
9.283,5500,1939.25533889904,1500,2060.74466110096,0.475134571424107
9.284,5500,1939.37436099508,1500,2060.62563900491,0.475131793646329
9.285,5500,1939.49323507839,1500,2060.50676492161,0.475129015868551
9.286,5500,1939.61196114615,1500,2060.38803885385,0.475126238090773
9.287,5500,1939.73053919556,1500,2060.26946080444,0.475123460312995
9.288,5500,1939.84896922384,1500,2060.15103077616,0.475120682535218
9.289,5500,1939.96725122824,1500,2060.03274877176,0.47511790475744
9.29,5500,1940.08538520599,1500,2059.91461479401,0.475115126979662
9.291,5500,1940.20337115438,1500,2059.79662884562,0.475112349201884
9.292,5500,1940.32120907067,1500,2059.67879092933,0.475109571424106
9.293,5500,1940.43889895219,1500,2059.56110104781,0.475106793646329
9.294,5500,1940.55644079624,1500,2059.44355920376,0.475104015868551
9.295,5500,1940.67383460015,1500,2059.32616539985,0.475101238090773
9.296,5500,1940.79108036128,1500,2059.20891963872,0.475098460312995
9.297,5500,1940.90817807699,1500,2059.09182192301,0.475095682535217
9.298,5500,1941.02512774466,1500,2058.97487225534,0.47509290475744
9.299,5500,1941.14192936169,1500,2058.85807063831,0.475090126979662
9.3,5500,1941.2585829255,1500,2058.7414170745,0.475087349201884
9.301,5500,1941.37508843351,1500,2058.62491156649,0.475084571424106
9.302,5500,1941.49144588317,1500,2058.50855411683,0.475081793646328
9.303,5500,1941.60765527195,1500,2058.39234472805,0.475079015868551
9.304,5500,1941.72371659731,1500,2058.27628340269,0.475076238090773
9.305,5500,1941.83962985677,1500,2058.16037014323,0.475073460312995
9.306,5500,1941.95539504782,1500,2058.04460495218,0.475070682535217
9.307,5500,1942.071012168,1500,2057.928987832,0.475067904757439
9.308,5500,1942.18648121486,1500,2057.81351878514,0.475065126979662
9.309,5500,1942.30180218594,1500,2057.69819781406,0.475062349201884
9.31,5500,1942.41697507883,1500,2057.58302492117,0.475059571424106
9.311,5500,1942.53199989112,1500,2057.46800010888,0.475056793646328
9.312,5500,1942.64687662042,1500,2057.35312337958,0.475054015868551
9.313,5500,1942.76160526436,1500,2057.23839473564,0.475051238090773
9.314,5500,1942.87618582056,1500,2057.12381417944,0.475048460312995
9.315,5500,1942.99061828671,1500,2057.00938171329,0.475045682535217
9.316,5500,1943.10490266046,1500,2056.89509733954,0.475042904757439
9.317,5500,1943.2190389395,1500,2056.7809610605,0.475040126979662
9.318,5500,1943.33302712156,1500,2056.66697287844,0.475037349201884
9.319,5500,1943.44686720434,1500,2056.55313279566,0.475034571424106
9.32,5500,1943.56055918558,1500,2056.43944081442,0.475031793646328
9.321,5500,1943.67410306305,1500,2056.32589693695,0.47502901586855
9.322,5500,1943.78749883451,1500,2056.21250116549,0.475026238090773
9.323,5500,1943.90074649776,1500,2056.09925350224,0.475023460312995
9.324,5500,1944.01384605059,1500,2055.98615394941,0.475020682535217
9.325,5500,1944.12679749083,1500,2055.87320250917,0.475017904757439
9.326,5500,1944.23960081631,1500,2055.76039918369,0.475015126979661
9.327,5500,1944.3522560249,1500,2055.6477439751,0.475012349201884
9.328,5500,1944.46476311445,1500,2055.53523688555,0.475009571424106
9.329,5500,1944.57712208286,1500,2055.42287791714,0.475006793646328
9.33,5500,1944.68933292803,1500,2055.31066707197,0.47500401586855
9.331,5500,1944.80139564787,1500,2055.19860435213,0.475001238090772
9.332,5500,1944.91331024033,1500,2055.08668975967,0.474998460312995
9.333,5500,1945.02507670335,1500,2054.97492329665,0.474995682535217
9.334,5500,1945.1366950349,1500,2054.8633049651,0.474992904757439
9.335,5500,1945.24816523297,1500,2054.75183476703,0.474990126979661
9.336,5500,1945.35948729556,1500,2054.64051270444,0.474987349201883
9.337,5500,1945.47066122069,1500,2054.52933877931,0.474984571424106
9.338,5500,1945.58168700638,1500,2054.41831299362,0.474981793646328
9.339,5500,1945.6925646507,1500,2054.3074353493,0.47497901586855
9.34,5500,1945.8032941517,1500,2054.1967058483,0.474976238090772
9.341,5500,1945.91387550748,1500,2054.08612449252,0.474973460312994
9.342,5500,1946.02430871612,1500,2053.97569128388,0.474970682535217
9.343,5500,1946.13459377575,1500,2053.86540622425,0.474967904757439
9.344,5500,1946.2447306845,1500,2053.7552693155,0.474965126979661
9.345,5500,1946.35471944052,1500,2053.64528055948,0.474962349201883
9.346,5500,1946.46456004197,1500,2053.53543995803,0.474959571424105
9.347,5500,1946.57425248703,1500,2053.42574751297,0.474956793646328
9.348,5500,1946.68379677391,1500,2053.31620322609,0.47495401586855
9.349,5500,1946.79319290082,1500,2053.20680709918,0.474951238090772
9.35,5500,1946.90244086599,1500,2053.09755913401,0.474948460312994
9.351,5500,1947.01154066766,1500,2052.98845933234,0.474945682535216
9.352,5500,1947.12049230411,1500,2052.87950769589,0.474942904757439
9.353,5500,1947.22929577361,1500,2052.77070422639,0.474940126979661
9.354,5500,1947.33795107446,1500,2052.66204892554,0.474937349201883
9.355,5500,1947.44645820497,1500,2052.55354179503,0.474934571424105
9.356,5500,1947.55481716348,1500,2052.44518283652,0.474931793646327
9.357,5500,1947.66302794833,1500,2052.33697205167,0.47492901586855
9.358,5500,1947.77109055789,1500,2052.22890944211,0.474926238090772
9.359,5500,1947.87900499053,1500,2052.12099500947,0.474923460312994
9.36,5500,1947.98677124465,1500,2052.01322875535,0.474920682535216
9.361,5500,1948.09438931867,1500,2051.90561068133,0.474917904757439
9.362,5500,1948.20185921102,1500,2051.79814078898,0.474915126979661
9.363,5500,1948.30918092013,1500,2051.69081907987,0.474912349201883
9.364,5500,1948.41635444448,1500,2051.58364555552,0.474909571424105
9.365,5500,1948.52337978254,1500,2051.47662021746,0.474906793646327
9.366,5500,1948.63025693281,1500,2051.36974306719,0.47490401586855
9.367,5500,1948.7369858938,1500,2051.2630141062,0.474901238090772
9.368,5500,1948.84356666404,1500,2051.15643333596,0.474898460312994
9.369,5500,1948.94999924208,1500,2051.05000075792,0.474895682535216
9.37,5500,1949.05628362647,1500,2050.94371637353,0.474892904757438
9.371,5500,1949.16241981581,1500,2050.83758018419,0.474890126979661
9.372,5500,1949.26840780867,1500,2050.73159219133,0.474887349201883
9.373,5500,1949.37424760369,1500,2050.62575239631,0.474884571424105
9.374,5500,1949.47993919948,1500,2050.52006080052,0.474881793646327
9.375,5500,1949.58548259468,1500,2050.41451740532,0.474879015868549
9.376,5500,1949.69087778797,1500,2050.30912221203,0.474876238090772
9.377,5500,1949.79612477802,1500,2050.20387522198,0.474873460312994
